"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048732","BP","GO:0048732","gland development","83/1647","443/18870",1.74967501473745e-11,9.33849273774871e-09,7.48258147450878e-09,"SLC7A5/NME1/CEBPB/SOX9/SLC29A1/MET/CSNK2A2/CCND1/FASN/CLDN1/WDR77/TGM2/POLB/RPGRIP1L/AURKA/PNPT1/PCNA/WNT2/PITX1/EDNRA/BRCA2/WNT5A/MSX1/ITGA2/ASXL1/DKK3/LAMA5/CCNB2/SULF1/EZH2/E2F7/ROBO1/PROX1/INHBB/LBH/PCSK9/FOXC1/MSX2/ADA/EPHB3/TNC/ALDH1A3/BMP4/CRIPTO/EDAR/BMP7/SERPINE2/PITX2/IL6/IGF2/UGT1A8/CEACAM1/XDH/CLCN2/CDKN2B/RIPK3/BMP2/UGT1A9/UGT1A1/UGT1A10/NHERF1/RARA/ARF6/TFCP2L1/CPT1A/PCK1/CITED2/SOCS2/ACADM/IRF6/FGFR2/HK2/CDH1/HMGCS2/MAN2A1/NR3C1/TNFRSF11A/NKX2-3/OTC/SOSTDC1/INSM1/CTNNB1/HOXA13",83
"GO:0034308","BP","GO:0034308","primary alcohol metabolic process","33/1647","106/18870",4.40542433078944e-11,2.15535385383873e-08,1.72700362581562e-08,"DKK3/DGAT2/CEL/ALDH1A3/SCNN1B/RDH5/NAAA/SULT1A2/RETSAT/GDPD3/DHRS9/BMP5/SULT1A1/SULT1B1/ADH1B/CLCN2/BMP2/AKR1B10/GPD2/HSD11B2/ADH1C/SULT1A3/ACSS2/ADH1A/AKR1C2/CYP2C18/RDH13/TPK1/NAPEPLD/ADH6/AKR1C3/CYP3A5/IGF1",33
"GO:0045787","BP","GO:0045787","positive regulation of cell cycle","67/1647","334/18870",7.67408827170233e-11,3.46573632639726e-08,2.77696360212451e-08,"CDK4/UBE2C/NUP62/CDC25B/FAM83D/CDCA5/NCAPG2/CCND1/NUSAP1/NCAPD3/DTL/CDK1/RRM2/BUB1/KIF23/CCNB1/NCAPD2/AURKA/PDGFRB/NCAPG/RGCC/KIF14/NCAPH/AURKB/ECT2/FEN1/PSRC1/BRCA2/EIF4EBP1/CHEK1/WNT5A/MSX1/ASNS/RACGAP1/MAD2L1/DBF4/FBXO5/DLGAP5/CDC20/RAD51AP1/EZH2/CDCA8/CDC25C/E2F7/NDC80/CALR/GPSM2/CDC6/ATRX/PROX1/STIL/FOSL1/MSX2/CDC25A/CCND2/IGF2/CDC14A/EDN3/KAT2B/RARA/TMOD3/VPS4B/CITED2/FGFR2/IGF1/HSPA2/HOXA13",67
"GO:0009410","BP","GO:0009410","response to xenobiotic stimulus","80/1647","434/18870",9.36166814612276e-11,3.92588240613477e-08,3.14566127406185e-08,"CTPS1/CDK4/CDH3/ABCC1/SLC29A1/COL1A1/MCM7/CCND1/COL18A1/RAD54B/EHMT2/MYC/CDK1/TGIF1/LRP8/PCNA/PFAS/DPEP1/ATR/ITGA2/GSTP1/CCNO/KCNJ8/CALR/NNMT/FOSL1/ADA/CYP2S1/FZD3/CA9/LOX/SLCO1B3/UGT1A8/SCNN1B/SST/SULT1A2/SULT1A1/C1orf115/FMO4/SULT1B1/SLC1A1/BCAR3/UGT2B15/TLR3/UGT1A9/UGT1A6/SMPD1/UGT1A3/UGT1A1/UGT2B17/HSD11B2/UGT1A10/SULT1A3/TPMT/NAT1/ADIPOQ/CPT1A/NAT2/ABCD3/CDKN1A/UGT2B28/CYP4F12/CES2/CYP2C18/MAP2K6/CDH1/PRKCB/BCHE/HMGCS2/CMBL/ABCB1/SLC28A2/NCEH1/OTC/FOS/TXNIP/CYP3A5/NR1I2/CTNNB1/VAV3",80
"GO:0044786","BP","GO:0044786","cell cycle DNA replication","20/1647","44/18870",1.33650888809042e-10,5.2310957879859e-08,4.19147945324637e-08,"MCM3/MCM6/MCM2/GINS3/BLM/GINS1/DONSON/CDC45/PCNA/POLA1/FEN1/BRCA2/DBF4/FBXO5/E2F7/MCM4/CDT1/TIPIN/ATRX/DACH1",20
"GO:0090068","BP","GO:0090068","positive regulation of cell cycle process","56/1647","262/18870",2.29632673274323e-10,8.42608390495968e-08,6.75150274251939e-08,"CDK4/UBE2C/NUP62/CDC25B/FAM83D/CDCA5/NCAPG2/CCND1/NUSAP1/NCAPD3/DTL/CDK1/RRM2/BUB1/KIF23/CCNB1/NCAPD2/AURKA/PDGFRB/NCAPG/RGCC/KIF14/NCAPH/AURKB/ECT2/FEN1/WNT5A/MSX1/RACGAP1/MAD2L1/DBF4/FBXO5/DLGAP5/CDC20/RAD51AP1/EZH2/CDCA8/CDC25C/E2F7/NDC80/GPSM2/CDC6/ATRX/STIL/MSX2/CDC25A/CCND2/IGF2/CDC14A/EDN3/KAT2B/TMOD3/VPS4B/IGF1/HSPA2/HOXA13",56
"GO:1905818","BP","GO:1905818","regulation of chromosome separation","26/1647","74/18870",2.55030677823713e-10,8.80755946766483e-08,7.05716470089272e-08,"UBE2C/TRIP13/NCAPG2/CSNK2A2/MAD2L2/NCAPD3/NUF2/BUB1/CCNB1/NCAPD2/SPC25/NCAPG/BUB1B/NCAPH/AURKB/PLK1/MAD2L1/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CDCA8/NDC80/ZWILCH/DUSP1",26
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition","83/1647","470/18870",3.75875044386722e-10,1.22597910310802e-07,9.82330744657461e-08,"CDK4/E2F6/UBE2C/ANAPC1/CDC25B/TRIP13/CCNF/CDCA5/UBE2S/CCND1/MELK/CKS2/MAD2L2/MYC/ANLN/NUF2/DTL/NABP2/BLM/CDK1/RRM2/FOXM1/BUB1/SKP2/CCNB1/AURKA/SPC25/DONSON/RGCC/BUB1B/KIF14/AURKB/PLK1/CKS1B/PRKDC/CDKN3/EIF4EBP1/CHEK1/BARD1/MRE11/HECW2/BRCA1/CCNA2/CCNE1/MAD2L1/CCNB2/DBF4/FBXO5/DLGAP5/TTK/CDC20/KNTC1/ZFP36L1/EZH2/CDCA8/CDC25C/E2F7/NDC80/CCNO/ZWILCH/UBD/CDC6/STIL/NES/CENPE/CDC25A/TPD52L1/DACT1/CCND2/CDC14A/APPL2/KLF4/CDKN2B/RHOU/CDKN1A/TMOD3/VPS4B/ZNF655/ABCB1/FHL1/DUSP1/HSPA2/MUC1",83
"GO:0042445","BP","GO:0042445","hormone metabolic process","52/1647","241/18870",7.05660830205442e-10,2.18049196533482e-07,1.74714584497957e-07,"PRMT3/STC2/DKK3/DGAT2/DHCR7/BACE2/CEL/ALDH1A3/CTSK/CYP2S1/MME/KLK6/RBP1/UGT1A8/SCNN1B/RDH5/RETSAT/DHRS9/BMP5/HSD3B2/SULT1A1/SULT1B1/ADH1B/DHRS11/CLCN2/PCSK7/HSD17B2/BMP2/AKR1B10/UGT2B15/UGT1A9/UGT1A3/UGT1A1/UGT2B17/PAPSS2/UGT2A3/ADH1C/UGT2B28/ADH1A/HSD17B11/AKR1C2/MEP1A/CYP2C18/GHR/RDH13/BCHE/PCSK5/NR3C1/ADH6/AKR1C3/CYP3A5/CPA3",52
"GO:0006260","BP","GO:0006260","DNA replication","57/1647","278/18870",8.42781287592442e-10,2.47398446972761e-07,1.98231030223717e-07,"S100A11/RUVBL1/RFC3/RNASEH2A/TWNK/MCM3/MCM7/MCM6/POLD2/MCM2/EHMT2/RFC4/DTL/GINS3/HMGA1/BLM/CDK1/MCM10/RRM2/POLA2/POLB/CHTF18/TIMELESS/NOC3L/GINS1/JADE3/DONSON/CDC45/PCNA/POLA1/FEN1/ATR/BRCA2/CHEK1/BARD1/MRE11/BRCA1/CCNA2/NAP1L1/CCNE1/DBF4/ORC6/FBXO5/MCM8/PRIM1/E2F7/POLE2/MCM4/CDT1/PCLAF/TIPIN/CDC6/ATRX/DACH1/BCAR3/POLD4/ADRA2A",57
"GO:0033260","BP","GO:0033260","nuclear DNA replication","18/1647","40/18870",1.38048703977234e-09,3.85944733833495e-07,3.09242936378074e-07,"MCM3/MCM6/MCM2/GINS3/BLM/GINS1/DONSON/CDC45/PCNA/POLA1/FEN1/BRCA2/DBF4/MCM4/CDT1/TIPIN/ATRX/DACH1",18
"GO:0030198","BP","GO:0030198","extracellular matrix organization","62/1647","321/18870",1.88230801009558e-09,5.02319560330506e-07,4.02489688857279e-07,"COL4A1/TGFBI/PRDX4/COL12A1/LAMC1/SOX9/COL1A1/COL18A1/MAD2L2/COL4A2/VWA1/PLOD3/SERPINH1/FKBP10/RGCC/COL11A1/COL5A2/OLFML2B/AGT/COL1A2/COL5A1/FAP/MMP7/P3H4/SULF1/MMP1/MMP11/PDPN/MMP3/EGFL6/COL15A1/LAMB1/COL9A3/COL7A1/FSCN1/COL3A1/PXDN/COL10A1/MMP9/EMILIN1/LOXL1/AEBP1/FOXC1/COMP/CTSK/ELN/CTSV/MMP12/NID2/LOX/IL6/MMP10/GREM1/MMP28/ADTRP/BMP2/SPINK5/CTSS/DPT/MATN2/COL17A1/TPSAB1",62
"GO:0043062","BP","GO:0043062","extracellular structure organization","62/1647","322/18870",2.13701100895378e-09,5.45495288415984e-07,4.37084768833613e-07,"COL4A1/TGFBI/PRDX4/COL12A1/LAMC1/SOX9/COL1A1/COL18A1/MAD2L2/COL4A2/VWA1/PLOD3/SERPINH1/FKBP10/RGCC/COL11A1/COL5A2/OLFML2B/AGT/COL1A2/COL5A1/FAP/MMP7/P3H4/SULF1/MMP1/MMP11/PDPN/MMP3/EGFL6/COL15A1/LAMB1/COL9A3/COL7A1/FSCN1/COL3A1/PXDN/COL10A1/MMP9/EMILIN1/LOXL1/AEBP1/FOXC1/COMP/CTSK/ELN/CTSV/MMP12/NID2/LOX/IL6/MMP10/GREM1/MMP28/ADTRP/BMP2/SPINK5/CTSS/DPT/MATN2/COL17A1/TPSAB1",62
"GO:0051304","BP","GO:0051304","chromosome separation","26/1647","81/18870",2.39303302815175e-09,5.693437447842e-07,4.56193636059595e-07,"UBE2C/TRIP13/NCAPG2/CSNK2A2/MAD2L2/NCAPD3/NUF2/BUB1/CCNB1/NCAPD2/SPC25/NCAPG/BUB1B/NCAPH/AURKB/PLK1/MAD2L1/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CDCA8/NDC80/ZWILCH/DUSP1",26
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","62/1647","323/18870",2.42438998800971e-09,5.693437447842e-07,4.56193636059595e-07,"COL4A1/TGFBI/PRDX4/COL12A1/LAMC1/SOX9/COL1A1/COL18A1/MAD2L2/COL4A2/VWA1/PLOD3/SERPINH1/FKBP10/RGCC/COL11A1/COL5A2/OLFML2B/AGT/COL1A2/COL5A1/FAP/MMP7/P3H4/SULF1/MMP1/MMP11/PDPN/MMP3/EGFL6/COL15A1/LAMB1/COL9A3/COL7A1/FSCN1/COL3A1/PXDN/COL10A1/MMP9/EMILIN1/LOXL1/AEBP1/FOXC1/COMP/CTSK/ELN/CTSV/MMP12/NID2/LOX/IL6/MMP10/GREM1/MMP28/ADTRP/BMP2/SPINK5/CTSS/DPT/MATN2/COL17A1/TPSAB1",62
"GO:0042573","BP","GO:0042573","retinoic acid metabolic process","16/1647","33/18870",2.93220074948126e-09,6.6211348462325e-07,5.30526524268493e-07,"PRMT3/ALDH1A3/CYP2S1/RBP1/UGT1A8/DHRS9/ADH1B/UGT1A9/UGT1A3/UGT1A1/ADH1C/ADH1A/CYP2C18/ADH6/AKR1C3/CYP3A5",16
"GO:0045839","BP","GO:0045839","negative regulation of mitotic nuclear division","21/1647","56/18870",3.42923961262389e-09,7.45669102433883e-07,5.97476484554236e-07,"TRIP13/MAD2L2/NUF2/BUB1/CCNB1/SPC25/BUB1B/AURKB/PLK1/CHEK1/MAD2L1/FBXO5/TTK/CDC20/KNTC1/CDCA8/NDC80/ZWILCH/BMP4/BMP7/DUSP1",21
"GO:0007052","BP","GO:0007052","mitotic spindle organization","34/1647","130/18870",3.84565392017936e-09,8.06351220191894e-07,6.46098773281262e-07,"TPX2/NUP62/CKAP5/MAP1S/KIF4A/NUF2/PRC1/TUBG1/KIF23/CCNB1/MZT1/AURKA/SPC25/RAE1/NEK2/AURKB/PLK1/MYBL2/INTS13/PSRC1/RACGAP1/DLGAP5/TTK/CDC20/CDCA8/NDC80/KIF11/GPSM2/STIL/CENPE/FLNA/CHMP1B/VPS4B/GNAI1",34
"GO:1902850","BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","39/1647","163/18870",4.51528580343648e-09,9.14111825930192e-07,7.32443276063798e-07,"TPX2/NUP62/CKAP5/MAP1S/CENPA/KIF4A/NUSAP1/NUF2/PRC1/CDK1/TUBG1/KIF23/CCNB1/MZT1/AURKA/SAPCD2/SPC25/RAE1/NEK2/AURKB/PLK1/MYBL2/INTS13/PSRC1/RACGAP1/MAD2L1/DLGAP5/TTK/CDC20/CDCA8/NDC80/KIF11/GPSM2/STIL/CENPE/FLNA/CHMP1B/VPS4B/GNAI1",39
"GO:0051983","BP","GO:0051983","regulation of chromosome segregation","34/1647","131/18870",4.7634394916112e-09,9.25231755634132e-07,7.41353255686547e-07,"UBE2C/ANAPC1/TRIP13/NCAPG2/KIF2C/CSNK2A2/MAD2L2/NCAPD3/NUF2/CDK1/BUB1/CCNB1/NCAPD2/SPC25/NCAPG/BUB1B/NCAPH/AURKB/PLK1/HECW2/MAD2L1/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CDCA8/NDC80/ZWILCH/CDC6/CENPE/CDCA2/KAT2B/DUSP1",34
"GO:0006805","BP","GO:0006805","xenobiotic metabolic process","33/1647","125/18870",5.02901435994277e-09,9.25231755634132e-07,7.41353255686547e-07,"ABCC1/SLC29A1/GSTP1/ADA/CYP2S1/SLCO1B3/UGT1A8/SULT1A2/SULT1A1/FMO4/SULT1B1/UGT2B15/UGT1A9/UGT1A6/UGT1A3/UGT1A1/UGT2B17/UGT1A10/SULT1A3/TPMT/NAT1/NAT2/UGT2B28/CYP4F12/CES2/CYP2C18/BCHE/CMBL/ABCB1/SLC28A2/NCEH1/CYP3A5/NR1I2",33
"GO:0033044","BP","GO:0033044","regulation of chromosome organization","51/1647","247/18870",5.04299372854577e-09,9.25231755634132e-07,7.41353255686547e-07,"NAT10/ACD/RUVBL1/CCT3/CCT4/DKC1/MORC2/UBE2C/ANAPC1/TRIP13/NCAPG2/TOP2A/CCT6A/GNL3/TRIM28/MAD2L2/MYC/NCAPD3/NUF2/NABP2/CDK1/BUB1/CCNB1/NCAPD2/SPC25/NCAPG/BUB1B/NCAPH/NEK2/AURKB/PLK1/FEN1/ATR/MRE11/HECW2/MAD2L1/FBXO5/DLGAP5/TTK/CDC20/KNTC1/CDCA8/NDC80/ZWILCH/CDC6/ATRX/CENPE/PKIB/KAT2B/DUSP1/CTNNB1",51
"GO:0051310","BP","GO:0051310","metaphase chromosome alignment","28/1647","96/18870",6.62029281115813e-09,1.17781027558513e-06,9.43734882713419e-07,"BOD1/RRS1/NUP62/FAM83D/CDCA5/MAP1S/KIF2C/NUF2/CCNB1/SPC25/KNSTRN/KIF14/NEK2/AURKB/ECT2/PSRC1/RACGAP1/KNTC1/CDCA8/KIF18A/NDC80/CDT1/ZWILCH/CENPE/GEM/CHMP1B/KAT2B/VPS4B",28
"GO:0051784","BP","GO:0051784","negative regulation of nuclear division","22/1647","63/18870",6.89157089366693e-09,1.19001213872702e-06,9.53511774730573e-07,"TRIP13/MAD2L2/NUF2/BUB1/CCNB1/SPC25/BUB1B/AURKB/PLK1/CHEK1/MAD2L1/FBXO5/TTK/CDC20/KNTC1/CDCA8/NDC80/ZWILCH/LIF/BMP4/BMP7/DUSP1",22
"GO:0033047","BP","GO:0033047","regulation of mitotic sister chromatid segregation","20/1647","54/18870",1.03910470983323e-08,1.74302392898025e-06,1.39661923255479e-06,"TRIP13/MAD2L2/NUF2/CDK1/BUB1/CCNB1/SPC25/BUB1B/AURKB/PLK1/MAD2L1/FBXO5/TTK/CDC20/KNTC1/CDCA8/NDC80/ZWILCH/KAT2B/DUSP1",20
"GO:0030199","BP","GO:0030199","collagen fibril organization","22/1647","65/18870",1.3378721109667e-08,2.18184643430153e-06,1.74823112979831e-06,"COL12A1/COL1A1/COL18A1/PLOD3/SERPINH1/FKBP10/COL11A1/COL5A2/COL1A2/COL5A1/P3H4/MMP11/COL3A1/PXDN/EMILIN1/LOXL1/AEBP1/FOXC1/COMP/LOX/GREM1/DPT",22
"GO:0006270","BP","GO:0006270","DNA replication initiation","16/1647","37/18870",2.30807108915016e-08,3.66234739578394e-06,2.93450062515279e-06,"MCM3/MCM7/MCM6/MCM2/GINS3/MCM10/POLA2/NOC3L/CDC45/POLA1/CCNE1/ORC6/PRIM1/MCM4/CDT1/CDC6",16
"GO:0010948","BP","GO:0010948","negative regulation of cell cycle process","59/1647","320/18870",2.71600557562305e-08,4.19622861433761e-06,3.36227947852061e-06,"TRIP13/CCNF/PRPF19/CCND1/MAD2L2/TTI1/NUF2/DTL/NABP2/BLM/CDK1/BUB1/CCNB1/TIMELESS/SPC25/DONSON/RGCC/BUB1B/CDC45/NEK2/AURKB/PLK1/PRKDC/ATR/BRCA2/CHEK1/BARD1/MRE11/H2AX/BRCA1/MAD2L1/FBXO5/TTK/CDC20/KNTC1/ZFP36L1/EZH2/CDCA8/E2F7/NDC80/CDT1/ZWILCH/TIPIN/LIF/CDC6/ATRX/PROX1/BMP4/BMP7/DACT1/KLF4/CDKN2B/KAT2B/CDKN1A/ZNF655/GPR15LG/FHL1/DUSP1/MUC1",59
"GO:0090329","BP","GO:0090329","regulation of DNA-templated DNA replication","18/1647","47/18870",3.07014479056182e-08,4.62174873471499e-06,3.70323267719859e-06,"RFC3/MCM3/MCM7/MCM6/MCM2/RFC4/BLM/CHTF18/TIMELESS/PCNA/DBF4/FBXO5/E2F7/MCM4/CDT1/TIPIN/ATRX/DACH1",18
"GO:0045930","BP","GO:0045930","negative regulation of mitotic cell cycle","49/1647","248/18870",4.39851071299391e-08,6.01031728614299e-06,4.81584020507096e-06,"TRIP13/CCND1/MAD2L2/NUF2/DTL/NABP2/BLM/CDK1/BUB1/CCNB1/SPC25/DONSON/RGCC/BUB1B/AURKB/PLK1/PRKDC/CHEK1/BARD1/MRE11/BRCA1/MAD2L1/FBXO5/TTK/CDC20/KNTC1/ZFP36L1/EZH2/CDCA8/E2F7/NDC80/ZWILCH/TIPIN/CDC6/FOXC1/BMP4/BMP7/FZD3/DACT1/BRINP3/KLF4/CDKN2B/NHERF1/CDKN1A/ZNF655/FHL1/DUSP1/CTNNB1/MUC1",49
